text,translation,num_words,author,source,page,line
Alò i té ba mwen an piti-piti-piti kaché kon an grenn lanti.,Alors il me donna un minuscule cachet de la grosseur d’un grain de lentille.,19,R. Confiant,M. F.,461,38
An bagay ki té ka sanm an lantonwè.,Quelque chose qui ressemblait à un entonnoir.,14,T. Léotin,L. L.,461,45
I tounen lantou bagay-la.,Il tourna autour de la chose.,10,T. Léotin,L. L.,461,50
Man ka pèsé lantoun kavo-a.,Je perce tout à l’entour du caveau.,12,R. Confiant,M. F.,461,60
"An lè, man ka wè lantré an koridò.","A un moment, j’aperçois l’entrée d’un corridor.",14,G. Mauvois,M. M.,462,5
I kréyé an sistem lantred ant yo.,Cela a créé un système d’entraide entre eux.,10,H.Atine,A. S.D.,462,10
Makak koumansé tounen zié’y lanvè pou i fè jèn.,"De gêne, les yeux de Macaque se révulsèrent.",21,J. Laurent et I. Césaire,C. M. Ant.,462,18
"An bòdaj lanvil, adan ti bouk maren-péchè tala.","Aux abords de la ville, dans ce petit bourg de marins-pêcheurs.",14,M. Norvat,Z. L.,462,29
Liennay yo pwan lapenn chwézi adan lanviwonnay-la.,"Des relations restreintes, choisies avec soin dans le voisinage.",13,G. Flaubert,A. D. K.,462,41
Epi tout bo mwen adan lanvlop-la.,Avec tous mes baisers dans l’enveloppe..,13,G. Gratiant,F. K. Z.,462,50
Ou pa jenmen tann palé dè lanvoutman ?,Vous n’avez jamais entendu parler de l’envoûtement ?,14,R. Confiant,M. F.,462,55
"Davwè fok di sé Lapak, Lapannkot, sanmdi gloriya oben Madigra sa té ka rivé.","Parce qu’il faut avouer que cela ne se produisait qu’à Pâques, à la Pentecôte, pendant le",14,M. Norvat,Z. L.,462,64
"An lè, siklòn mété lapat anlè lanmè.","A un moment, le cyclône mit la patte sur la mer.",12,R. Loiseau,Lt.,463,3
An tan lé zannimo té ni lapawol.,A l’époque où les animaux avaient le don de la parole.,16,J. Laurent et I. Césaire,C. M. Ant.,463,19
Nenpot ki téren ou fouyé èvek lapèmision di Dié.,N’importe quel terrain que vous avez fouillé avec la permission de Dieu.,13,F. Marbot,Bamb.,463,31
Konpè Lapin ka wè Konpè Tig ka pasé anba piébwa-a oti i maré a.,Compère Lapin vit Compère Tigre en train de passer sous l’arbre où il était attaché.,22,L. Hearn,C. C.,463,45
Ti krab-sémafot kip a té fini fè lapénitans a yo.,De petits crabes-c’est-ma-faute qui n’avaient pas fini de faire leur pénitence.,15,G-H. Léotin,M. L.,463,54
I té ka soufè akoz di lapendisit.,Il souffrait à cause d’une appendicite.,7,,,463,59
Di’w si sa fè’y lapenn.,C’est vous dire si cela lui a fait de la peine.,12,G. Mauvois,M. M.,463,63
Epi dé môso bwa é tibwen lapenti.,Avec deux bouts de bois et un peu de peinture.,15,Jala,A. T. K. P.,464,3
"An lakontantman, an lapérézité oben kisasayésa.","Un contentement, une peur ou quoi que ce soit d’autre.",11,G.H. Léotin,M. L.,464,9
Di’y lajan-an lapèsepsion.,Dites lui que l’argent se trouve à la Perception.,10,G. Mauvois,Man Ch.,464,14
"Kantapou pè Mikabwa, lapéti-a pa ka manti.","Quand au père Micaboua, il mange de bon appétit.",14,I et H. Cadoré,C. S.,464,18
Tou sa pou lapéti Mariyan-Tètfè,"Tout cela par la faute de Marignan Tête-en-fer  (T. Léotin, L. L.)",5,,,464,21
Yo ka vini koté’w trapé an lapezman.,Ils viennent à toi à la recherche de quelque apaisement.,9,Jala,A.T.K.P.,464,31
Moun té blijé ay chaché lapia bien lwen mennen an sé lariviè-a.,Les gens étaient obligés d’aller chercher des tilapias dans les rivières.,12,T. Léotin,L. L.,464,37
Ou sé di ou lé pwan nou sèvi pou lapidanm.,On aurait dit que vous voulez vous servir de nous comme des souffre-douleurs.,14,R. Confiant,Bitak.,464,46
Met lékol ka lapidé ti manmay disipé.,Les maîtres d’école lapident les enfants dissipés.,15,G. de Vassoigne,F. K.,464,51
Mé ès sé anba tè sé sa ki lapiété.,Mais est-ce que la piété c’est de se retrouver sous terre.,14,G.Mauvois,Ant.,464,58
"Zot ni laplaj Sentàn, nou ni laplaj Diaman.","Vous avez la plage de Saint-Anne, nous avons celle du Diamant.",17,G. Gratiant,F. K. Z.,465,8
"A laplas-li, man té kéy jalou tou, ou sav.","A sa place, j’aurais été jaloux aussi, tu sais.",16,G. Mauvois,M. M.,465,15
Epi nennenn-la alé laplas.,"Puis, la marraine se rendit au marché.",15,L. Hearn,C. C.,465,21
"Zié’w té ka ouvè gran, akwédi laplenn-lin.","Tes yeux s’ouvrirent tout grand, comme la pleine lune.",17,J.M. Rosier,An L.,465,30
Foda ou té di sa a laplézantri pou tout moun pwan pawol ta-a o sérié.,Il fallait que tu dises cela sur le ton de la plaisanterie pour que tout le monde prenne tes,15,J.M. Rosier,An L.,465,38
"ttm. Lè lapli ka tonbé, manman-mwen ka ba mwen rad ?","Quand il pleut, ma mère me donne des vêtements.",11,,,465,44
"rép. Lè lariviè gwo, i ka kouvè tout woch-li.","Quand la rivière est en crue, elle recouvre toutes ses pierres.",9,,,465,46
Men laplipa té sispann davwè yo pa té ni kont tjè-yo.,Mais la plupart s’étaient arrêté car ils n’avaient pas suffisamment de courage.,16,R. Confiant,Maris.,465,57
I jété lapo bef-la.,Il a jeté la peau du bœuf.,4,,,465,62
Kon grenn mango é lapo mango.,Comme des noyaux et des pelures de mangues.,12,G. Gratiant,F. C.,465,68
"A, machè, man pou lapo-mwen.","Ah, ma chère, je défends ma couleur de peau.",13,G. Mauvois,M.  M.,466,8
Etjip-li a touvé kò’y lapo.,Son équipe s’est retrouvée étrillée.,5,,,466,14
"Enben, lapochenn fwa, chèché an lot moun, en.","Eh bien, la prochaine fois, cherche donc quelqu’un d’autre.",15,G. Mauvois,M. Ch.,466,22
Chien té chef lapolis.,Chien était le chef de la police.,13,F. Kichenassamy,C. P. G.,466,27
Sé pa mwen key faché épi moun pou lapolitik.,Je ne me fâcherai jamais avec quelqu’un pour un motif politique.,17,G. Mauvois,M. M.,466,33
"Ek, apré tout kalté lapolites, boug-la mandé nov.","Et, après mille politesses, il demanda des nouvelles.",15,G. Maupassant,A. D. K.,466,38
"Ou bel , zabi’w a lapolka !","Tu es beau, avec tes vêtements tu es prêt à danser la polka !",12,F. Marbot,Bamb.,466,49
Lè lè-a rivé pou bout ti laponmad-nou an asou latè Bondié.,Quand l’heure d’achever la petite promenade que nous faisons sur la terre du Bon Dieu.,16,G.H. Léotin,M. L.,466,55
"Lapopilas, pou sové yo, twouvé plas adan tout ti fant.","Pour se sauver, la populace se faufila par toutes les interstices.",15,F. Marbot,Bamb.,466,62
Annou kriyé lapopo ba boug-la !,Appellons la maréchaussée pour s’occuper de ce type !,11,R. Confiant,Maris.,467,8
Ti fi-a pasé lèkzanmen lapos.,La jeune fille a réussi au concours des Postes,10,G. Mauvois,M. M.,467,12
"Ek i rété pann la, ka atann laposésion lanm-lan.","Et là, il demeura accroché, attendant le défilé des vagues.",13,Monchoachi,Mant.,467,16
"Si ou wè sé an lapostim vet ki sòti, alô, yich-mwen chè, pwan gad, pas sé djab !","Si c’est du pus verdâtre qui s’en écoule, alors, mon enfant chérie, fais attention car c’est le diable !",18,I. et H. Cadoré,S. D. M.,467,21
"Antouléka, mwen pa lé wè pèsonn douvan lapot-mwen.","En tout cas, je ne veux voir personne devant ma porte.",12,C. Boulard,Beaur.,467,29
"ttm. Mwen ka pasé lapot-la, mwen ni an non ; lè mwen pasé lot lapot-la, mwen pwan an lot non ?","Je passe la porte, j’ai un nom ; je passe l’autre porte, j’ai un nom.",21,,,467,31
"rép. Sé kan dlo pasé an moulen, sé kann ; lè i rivé lot koté moulen, sé bagas.","Quand l’eau passe dans le moulin, il s’agit de la canne ; quand elle arrive de l’autre côté,",18,,,467,33
Yo vréyé tout kalté lapotitjè-kréyol ba’y.,Ils lui envoyèrent toutes sortes de remèdes à base de simples.,12,R. Confiant,K. Y.,467,41
Ou mèyè pwan nou dé vié lapo-zoki pa konnet vis neg oben ki sa ?,Tu nous prends peut-être pour de vieux débris qui ne connaissent pas les ruses des nègres ou quoi ?,15,R. Confiant,J. D. D. B.,467,48
Mé li koumansé kon moun ki ni lapotrin.,Il a commencé comme quelqu’un qui a la tuberculose.,16,F. Marbot,Bamb.,467,53
"Pofésè lapouriti, i ka gaté konsians bon moun.","Professeur de pourriture, il gâte la conscience des personnes de bien.",12,G.Mauvois,Ant.,468,2
Sé lapousiè pié’y moun key wè.,On ne verra plus que la poussière de ses pieds.,14,G. Mauvois,M. M.,468,7
"Bon. Mé i za lè lapoz, wi.",Bon. Mais c’est déjà l’heure de la pause.,14,G. Mauvois,M. Ch.,468,15
"Sanmdi rivé, Bétjé ka ba zot an titak sou pou tjenbé lapozision.","Le samedi venu, les Blancs créoles vous donnent quelques sous pour tenir la position.",17,C. Boulard,Beaur.,468,20
Sé anlè ban lékol nou fè laprantisay libèté-nou.,C’est sur le banc de l’école que nous avons fait l’apprentissage de notre liberté.,14,Monchoachi,K. L.,468,25
"Piskè ou té anplwayé Lapréfekti, ou konpwann ou andwa ladjé fransé anlè mwen alos ?","Puisque tu as été employée de préfecture, tu t’imagines que tu peux me parler dehaut ?",25,H. Melon,Cri s.,468,30
"Dimanch, i koté dé zè, dé zè é dimi di laprémidi, man alé bò kay-poul la.","Dimanche, à deux heures, deux heures et demi de l’après-midi, je suis allé près du poulailler.",22,R. Confiant,M. F.,468,35
Menm jan yo ka ralé kolé a on glos diven jou laprèmiè kominion.,De la même manière qu’on fait sauter le bouchon d’une bouteille de vin un jour de première,21,R. Confiant,J. D. D. B.,468,40
"Fè lapriyè’w, jou-a sé ta’w.","Fais ta prière, le jour t’appartient.",10,S. Restog,Anth.,468,51
Kouwyé-a rivé bonmaten-an. Man tann li rivé adan larad-la.,Le courrier est arrivé ce matin. J’ai entendu sa corne mugir dans la rade.,9,M. Elisée-Désir,T. M. B. C.,468,56
Ou tann laradio di ki koté ou kay touvé.,Tu as entendu la radio dire à quel endroit tu pourras en trouver.,17,Jala,A.T.K.P.,469,2
An kalté laraj anni fè’y ridoubout.,Une espèce de rage le fit se remettre debout.,15,R.Confiant,K.Y.,469,6
Larantré lékol près rivé.,La rentrée scolaire est presqu’arrivée.,10,Joby Bernabé,Konm.,469,10
"An djérit éti met-li té fè ba’y, anfon an ravin.",Une guérite que son maître lui avait construit au fond d’une ravine.,17,G. Mauvois,K. L. K.,469,18
Bod lanmè ki laré’y.,Son arrêt se trouve au Bord de Mer.,9,G. Mauvois,Jaz,469,23
I édé mwen wè laréalité.,Il m’a aidé à voir la réalité.,11,C. Boulard,Beaur.,469,30
Larégrétans pa pou brété’w !,Le regret ne doit pas vous casser les bras !,12,R. Confiant,J. D. D. B.,469,38
I ka fè lékol atè la-Rèdout.,Il fait l’école à Redoute.,15,R. Confiant,J. D. D. B.,469,43
La té ni an chimen moun ki té kondané laréklizion té pèsé adan an ti mòn.,Il y avait là un petit chemin que des gens condamnés aux travaux forcés avaient percé dans une petite,16,G-H. Léotin,M. L.,469,47
"Manman-mwen té ka chapé, lè ou wè larékot té pwan.",Ma mère s’en allait à l’ouverture de la récolte.,18,R. Confiant,Maris.,469,53
I té ka ladjé an larel sel.,Il lâchait une raie de sel.,12,T. Léotin,L. L.,469,59
"Yo té ka fè larélaj, yo té ka sité yonn-dé kontel.","On établissait des démarcations, on citait des exemples.",17,G. Maupassant,A. D. K.,470,3
Fizi-yo pwenté an larel-do sé Bétjé-nwè a boutou blan a.,Leurs fusils pointés dans la colonne vertébrale des nègres-blancs à matraque blanche.,16,H. Melon,Cri s.,470,7
Jik an bout larel-miklon.,Jusqu’au bout de l’horizon.,8,G.,Maupassant,470,11
Tout komersan déklaré fok Larèn sa palé lé twa lang prensipal.,Tous les commerçants ont déclaré qu’il fallait que la reine sache parler les trois langues principales.,15,E. Mona,Anth.,470,22
Zot ka désann laréodwom.,Vous vous rendez à l’aérodrome.,12,G. Gratiant,F. K. Z.,470,27
Epi yo jété’y fas anba dan an kacho larépiblik.,"Puis, ils le jetèrent face contre terre dans un cachot de la république.",16,G. Gratiant,F. K. Z.,470,35
I di sé Bétjé-Fwans ki ka fè larété an péyi-a,Il dit que ce sont les Français qui prennent les arrêtés dans ce pays,15,H. Melon,Cri s.,470,45
"Yo fè lajol, yo fè larévolision.","Ils ont fait de la prison, ils ont fait la révolution.",10,C. Rosemain,Anth.,470,49
"An mitan fwon-tet péyi-a, dèyè piton laréziniasion.","Au milieu du front du pays, derrière les pitons de la résignation.",13,Joby Bernabé,Konm.,470,56
"An larim, vet akwédi sé té kaka bélié.","Un rhume, vert comme des excréments de bélier.",13,J.M. Rosier,An L.,471,12
Larisivray Djab té frèt pasé an ba laglas.,L’accueil de Diable était plus froid qu’une barre de glace.,15,T. Léotin,L. L.,471,19
"Sé man Eminia ki, dépi lavey-oswè, ka prédi larivé’y dépi bouk Baspwent lan.","C’est madame Herminia qui, dès la veille au soir, prédisait son arrivée depuis le bourg de Basse-Pointe.",13,R. Confiant,J. D. D. B.,471,26
I wè yon vié fanm asiz bò lariviè.,Il vit une vieille femme assise au bord de la rivière.,15,L. Hearn,C. C.,471,32
Gran van té ka chanjé an ti larizé.,Les grands vents se muaient en brises légères.,17,I et H. Cadoré,S. D. M.,471,41
I ka ponmnen larjè’y an biwo-a,Elle promène ses formes à travers le bureau.,11,G. Mauvois,M. Ch.,471,55
"Oswè ta-a, sé pa ayen ki rivé lévé’w nan kabann larjil-ou a.","Ce soir, rien ne pourra te réveiller dans ton lit d’argile.",17,J.M. Rosier,An L.,471,60
Anni pou an boug té pati lot bò-a fè larmé’y.,Il suffisait que quelqu’un s’en aille à l’extérieur pour faire l’armée.,10,,,471,64
Ki ka pòté’w san jenmen las.,Qui vous porte sans jamais être fatigué.,12,G. Gratiant,F. K. Z.,472,4
Zot ka pwonmnen tout Lasavann.,Vous vous promenez tout au long de la Savane.,12,G. Gratiant,F. K. Z.,472,16
Sé kon zafè lasé-a.,C’est comme cette affaire de lacet.,13,M. Elisée-Désir,T. M. B. C.,472,27
Yo ja ka péyé lasédik-la ?,On paie déja l’allocation d’Assédic ?,8,Maloulou,D.,472,31
"Man pa ni dwa lasékité, alò ?",N’ai-je donc pas droit à la sécurité sociale ?,12,G. Mauvois,A. K.,472,37
"Lè timanmay-la ka alé lasel, i ka kaka pa ti grenn.","Lorsque le bébé va à la selle, il a les excréments en forme de petits grains.",25,H.Atine,A. S.D.,472,42
Béatris asiz gadé Lasenn koulé.,Béatrice s’assit pour regarder la Seine couler.,14,T.Léotin,O. L.,472,51
Dépi jòdi ki joudlan jis lasen-silves.,"D’aujourd’hui, jour de l’an, à la Saint-Sylvestre.",12,G. Gratiant,F. C.,472,58
"Ou ni jou pou vizit, ou ni jou pou laséparasion.",Il y a des jours de visite et des jours de séparation.,15,G. Mauvois,Jaz,472,62
"Sé té kon an soulézon ki anparé mwen, an varaj lasev ka débòdé.","Comme une ivresse qui m’envahit, une poussée de sève débordante.",20,G. Maupassant,A. D. K.,473,6
Moun di i ka monté asou latè manjé monben lè sé lasézon.,On prétend qu’il vient à terre pour manger des prunes-monbin quand c’est la saison.,17,T. Léotin,L. L.,473,10
"Zié’w, lasi té paré vèglé’y.","Vos yeux, la cire était prête à les aveugler.",21,J.M. Rosier,An L.,473,21
I té ni an lanmen’y an boutey lasid  pou i té vréyé an zié-mwen.,Il tenait à la main une bouteille d’acide qu’il voulait me lancer dans les yeux.,22,C. Boulard,Beaur.,473,25
I fok ou kwè sa lasians di.,Il faut que vous croyiez à ce que dit la science.,15,G. de Vassoigne,F. K.,473,29
Sé lasies man ka fè la.,Je suis en train de faire la sieste.,15,R. Confiant,M. F.,473,36
Ka atann yonn épi lot akwèdi jan Lasikri o Franswa,S’attendant les uns les autres comme les travailleurs de la sucrerie du François.,15,T. Léotin,L. L.,473,41
Sé jenn négres-la ka éséyé bliyé soufwans épi lanmizè lasimenn asou mizik « Ami-Roro. ».,Les  jeunes négresses essayaient d’oublier les souffrances et la misère de la semaine grâce à lamusique d’ « Ami-Roro. ».,11,G.H. Léotin,M. L.,473,47
Fodé ou ni lasirans sé pa an moun ki ka bwè.,Il faudrait que vous ayez l’assurance qu’il s’agit de quelqu’un qui ne boit pas.,17,R. Confiant,M. F.,473,56
"I ja midi, lasirèn ka kòné.","Il est déjà midi, la sirène sonne.",16,S.Restog,T.P.P.,473,66
"Man tounen, lasirpriz anlè mwen.","Je me retournai, plein de surprise.",12,G. Maupassant,A. D. K.,474,4
"Déwò tout moun, bet-la pri adan laso !","Dehors tout le monde, la bête est prise au lasso !  (G. Gratiant, F. K. Z.)",8,,,474,9
Lasolitid té ba’w tou sel !,Tu n’avais plus que ta solitude.,18,J.M. Rosier,An L.,474,13
Sa té ka fè an kalté lasos blan yo té ka kriyé « blancha ».,Cela donnait une sorte de sauce blanche appelée « blanchard ».,23,R. Confiant,J. D. D. B.,474,18
Poutji sa ? Pis ou ka fè an travay ki itil ba lasosiété ?,Pourquoi donc ? Puisque vous faites un travail utile à la société ?,21,R. Confiant,M. F.,474,26
Tout anpami lé vwazen monté an lasosiyasion.,Tous les voisins montèrent une association.,16,G. Mauvois,K. L. K.,474,31
Manman’y mò dan lasoufwans.,Sa mère est morte dans la souffrance.,12,M.-Th. Lung-Fou,P. D.,474,38
Vwéla yo té ka manjé lasoup.,Voilà qu’ils mangeaient la soupe.,11,F. Marbot,Bamb.,474,43
Padavwè Sand té ka travay lasou-préfekti.,Car Sandres était employé à la sous-préfecture.,13,G. Maupassant,A. D. K.,474,48
Zot ké jwenn an lasous ki ni dlo ka kléré.,Vous trouverez une source à l’eau brillante.,18,F. Kichenassamy,C. P. G.,474,53
I ka ranmasé tout mòso lastik i ka jwenn atè-a.,Il ramasse tous les bouts d’élastique qu’il trouve par terre.,10,,,474,60
"Lè i sòti adan tinel-la, fidji’y té plen lasui.","Quand il sortit du tunnel, son visage était couvert de suie.",9,,,475,4
Kann fléché kon laswa.,Des cannes qui lançaient des fleurs semblables à de la soie.,13,G. Gratiant,F. K. Z.,475,8
Man pa konnet an nonm ki vini rich si i pa ranmasé’y asou laswè neg.,Je ne connais personne qui soit devenu riche sans avoir profité de la sueur des nègres.,15,G. Mauvois,A. K.,475,12
Bet pa té ka mò laswef ankò.,Les animaux ne mouraient plus de soif.,16,G. Mauvois,K. L. K.,475,17
I pa té konnet dousè tjè-séré latant-lan.,Il ne connaissait pas les angoisses délicieuses de l’attente.,14,G. Maupassant,A. D. K.,475,22
A lè lanmè  té an mitan latè Matinik.,A l’époque àù la mer se trouvait au milieu des terres de la Martinique.,17,T. Léotin,L. L.,475,27
Latékorè ka fè siwawa nan siel-la.,La Latécoère faisait des évolutions dans le ciel.,11,Jala,E. P.,475,39
Laten ou twouvé plim mwen ?,Je vous mets au défi de découvrir mes plumes ?,10,F. Marbot,Bamb.,475,54
Ou té lé mwen apwann grek épi laten.,Tu voulais que j’aprenne le grec et le latin.,13,D.Boukman,Déliv.,475,61
"Jòdi-jou, pa ni anlo moun ka trapé latibèkiloz Matinik.","Aujourd’hui, il n’y a pas beaucoup de gens qui attrapent la tuberculose en Martinique.",9,,,476,5
Pli kravat neg latilié ka vini ba yo koud-pié.,Les plus maigres des nègres d’atelier leur donnaient des coups de pied.,14,F. Marbot,Bamb.,476,15
An latilié zannimo ki té ka woulé atè ka ri.,Un grand nombre d’animaux qui se tordaient de rire sur le sol.,17,F. Kichenassamy,C. P. G.,476,21
An koté yo té ka kriyé « Sélect-Tango » oti yo té ka jwé bon mizik latino.,Un endroit appellé « Select-Tango » où l’on passait de la bonne musique latino-américaine.,22,R. Confiant,Maris.,476,26
Lanné ratibwazaj prézanté èk tout latiray li.,L’année du ratiboisage survint avec tout son attirail.,15,Monchoachi,K.L.,476,30
Es ou sa katjilé ki latitid i yé ?,Sais-tu calculer à quelle latitude il se trouve ?,9,,,476,43
Baboutjet-li té ka rivé jik an latjé’y.,Sa barbe arrivait à hauteur de sa queue.,14,T. Léotin,L. L.,476,51
"Pèsonn pa-a jété anyen, pa menm an latjé fisel.","Personne ne jette rien, même pas un bout de ficelle.",19,R. Confiant,J. D. D. B.,476,61
Finot za koumansé latjé’y.,Finotte a déjà commencé à l’appâter.,11,G. Mauvois,M. M.,476,71
Epi lo lanmonné-ya an mété latjet.,Avec tout l’argent que j’ai mis à la quête.,10,Joby Bernabé,Konm.,477,5
Latjiryozité-tala ki an fonfonn nanm tout moun.,Cette curiosité qui vit au fond des âmes.,14,G. Flaubert,A. D. K.,477,9
Ki té ka sèvi nou latjuizin.,Qui nous servait de cuisine.,12,R. Confiant,Maris.,477,19
Man pa té enmen latmôsfè-a ki té ni an sal-la.,Je n’aimais pas l’atmosphère qu’il y avait dans la salle.,10,,,477,24
Liniz té renmen lonviyé senmitiè bouk-la lè’w wè sé té tan Latousen.,Lunise aimait observer le cimetière du bourg quand arrivait la Toussaint.,17,G.H. Léotin,M. L.,477,31
Si’y té riprézantatif nan latouwonn li.,Si elle était représentative de son milieu.,13,H. Atine,A. S. D.,477,35
Ou sé di latradision té ped.,On aurait dit que la tradition s’était perdue.,11,J.M. Rosier,An L.,477,42
Latranblad pran Ektò.,Hector fut pris de tremblements.,7,Jala,E. P.,477,48
Bon lè pou fè latrenn.,C’est le moment idéal pour pêcher à la traîne.,11,R. Loiseau,Latit,477,60
Pol trapé an latrenn adan anniversè frè’y la.,Paul a dansé avec la même cavalière lors de l’anniversaire de son frère.,8,,,478,7
Piti a piti latristes anparé tjè Matéo.,"Petit à petit, la tristesse s’empara du coeur de Matéo.",15,I et H. Cadoré,Mat.,478,11
Senntré adan an latriyé kay.,Coincé entre une multitude de maisons.,12,R. Confiant,K. Y.,478,20
Ti fanm-lan ki té mété latwoublay an tjè-mwen an lévé pou i désann.,La petit femme qui avait jeté un trouble en moi se leva pour descendre.,13,G. Maupassant,A. D. K.,478,25
"Ladan latwoup, pwan sèjan pou montré yo manévré.","Dans la troupe, prendre des sergents pour leur apprendre à manoeuvrer.",13,F. Marbot,Bamb.,478,31
Fok ou toujou genyen chimiz ki lavab.,Il faut toujours acheter des chemises lavables.,7,,,478,36
"Lavé lavabo nonm, rensé lavésèl fanm","Laver le lavabo des hommes, rincer la vaisselle des femmes  (G. Gratiant, F. K. Z.)",6,,,478,40
Lavalas livènaj détranpé sé mòn-la.,Les pluies torrentielles de l’hivernage ont détrempé les mornes.,14,G. Gratiant,F. K. Z.,478,50
Lot lavalas té ka pòté.,L’autre portait un ample pardessus de toîle,12,F. Marbot,Bamb.,478,56
Akondi sé lavaliè mal maré.,Comme une lavallière mal nouée.,11,M. Orel,Anth.,478,60
Man ka jwenn an dèvwa ki pliyé an kat éti lavandaj-la fasé lékriti’y.,Je trouve un devoir plié en quatre dont l’écriture a été effacée par le lavage.,13,R. Confiant,J. D. D. B.,479,5
Sé pòkò bon lè lavant.,Ce n’est pas encore la bonne heure de vente.,13,G. Mauvois,M. M.,479,23
"Twop lavantas an kò’w, konpè !","Tu fais montre de trop de vantardise, mon vieux !",11,R. Confiant,Maris.,479,33
Tout détay lavanti-tala Anri pa té jen bliyé a.,Tous les détails de cette aventure que Henri n’avait jamais oubliée.,16,G. Maupassant,A. D. K.,479,37
I lavé kò’y ek pat-li.,Il se lava à l’aide de ses pattes.,13,F. Kichenassamy,C. P. G.,479,41
"Ou pé di sa, tibolonm, kont-taa, sé lavérité vré !","Tu peux le dire, petit garçon, ce conte, c’est la pure vérité !",16,I. Césaire,L’enf. des pas.,479,48
"Lavé lavabo nonm, rensé lavésèl fanm.","Laver le lavabo des hommes, rincer la vaisselle des femmes.",14,G. Gratiant,F. K. Z.,479,53
Léfan ki pa té mété ayen anba dan’y dépi lavey.,Eléphant qui ne s’était rien mis sous la dent depuis la veille.,17,F. Kichenassamy,C. P. G.,479,58
Lavéyé-a viré pwan bon balan.,La veillée prit un bon rythme.,12,R. Confiant,J. D. D. B.,480,5
"Fo ou pwan lavi-a kon i ka vini, monchè.","Il faut que tu prennes la vie comme elle vient, mon cher.",14,G. Mauvois,M. M.,480,14
Lavieyes pran fi-ya Kolson.,Elle a atteint l’âge de la vieillesse à l’hôpital psychiatrique de Colson.,9,Joby Bernabé,Konm.,480,26
Epi i té ka révé senmitiè-a té kon gran lavil.,Et il rêvait que le cimetière était une sorte de grande ville.,15,G.H. Léotin,M. L.,480,35
Padavwè kouri sé sèl fidji lavini’y.,Parce que courir est l’unique visage de son avenir.,15,R. Confiant,J. D. D. B.,480,42
E fok nou ni lavolonté.,Et il faut que nous ayions la volonté.,11,G. Gratiant,F. C.,480,51
"Sé pié-mango a lavorasité tiblonm té, karant oben swasant lanné di sa, fè mété an  tè.","Les manguiers que la voracité des enfants, il y a quarante ou soixante ans de cela, avait fait lever",17,J.M. Rosier,An L.,480,56
Davwè siek ladjoukann té jouké lavwa-nou.,Parce que des siècles d’esclavage avaient étranglé nos voix.,14,R. Confiant,J. D. D. B.,481,6
Pep-la vréyé yan lavwa monté !,Le peuple éclata en exclamations !,16,R.Confiant,K.Y.,481,16
Moun ki té ka viv nan lavwézinay kouri kouri wè sa ki té ka fet.,Les gens qui vivaient dans le voisinage accoururent pour voir ce qui se passait.,15,R. Confiant,J. D. D. B.,481,32
Yo siprimé lawayoté.,Ils ont supprimé la royauté.,11,G. de Vassoigne,F. K.,481,41
Koté Lawoksèlàn pou rimonté dan mòn.,Là où la Roxelane doit grimper les collines.,12,G. Gratiant,F. C.,481,51
Oti met-danmié a pou i fòmé lawonn ?,Où est le maître du damier pour qu’il forme la ronde ?.,17,R. Confiant,J. D. D. B.,481,58
Mwen pa sav sa sa té pétèt : lawoujol.,Je ne savais pas ce que cela pouvait être : la rougeôle.,15,F. Marbot,Bamb.,481,69
Té ni pliziè mak lawouy anlè koutla-a.,Il y avait plusieurs taches de rouilles sur le coutelas.,7,,,482,4
Lawouzé té ka fè tout zobray-mwen flichonnen.,La rosée faisait frissonner mon échine toute entière.,11,R. Confiant,Maris.,482,8
Sé an kriz lazm ki tjwé’y lanné pasé.,Il a été tué par une crise d’asthme l’an dernier.,8,,,482,20
"An lé sav ola timanmay-la pasé, Pipi.","Je veux savoir où est passé l’enfant, Pipi.",15,P. Chamoiseau,C. S. M.,482,29
"Lé pò piti, man la ka wè yo ka tété mwen ankò.","Les pauvres petits, je les vois me têter encore.",18,T. Léotin,L. L.,482,39
Sé pa sa ki ka lé plis travay.,Ce ne sont pas ceux qui travaillent le plus.,21,S.Restog,T.P.P.,482,44
Chak lè i pasé fo i gadé an fondok biwo-a.,"Chaque fois qu’il passe, il lui faut regarder au fond du bureau.",17,G. Mauvois,M. M.,482,55
Yo té ka respiré titak lè.,Ils respiraient un peu d’air.,13,T. Léotin,L. L.,482,61
"Lébann mizérab, lébann sanzavé.","Bande de misérables, bande de voyous.",12,R. Confiant,J. D. D. B.,482,67
"Lèmal kon lèbien ! Sé dapré koumandman i ka risivwè.   ‘R. Confiant, M. F.)",Le mal comme le bien ! Cela dépend des commandements qu’il reçoit.,16,,,483,7
"I tonbé asou woch Lakaravel, i tiré an lech asou’y.",Il tomba sur le Rocher de la Caravelle et lui enleva un petit morceau.,17,E. Clew-Parson,Folk. Ant.,483,11
"Vié lodè zôdi yo, vyé gaz léchapman yo.","Leurs vieilles odeurs d’échappement, leurs mauvais gaz d’échappement.",16,Jala,A. T. K. P.,483,18
Man kay gadé-wè fè’w kado an léchel.,Je me débrouillerai pour que tu aies une échelle.,15,H. Melon,Cri s.,483,23
Zotey-li plen léchofi.,Ses orteils sont couverts d’échauffures.,9,S. Restog,Anth.,483,27
I té led anchay.,Elle était extrêmement laide.,14,F. Kichenassamy,C. P. G.,483,33
Mi dé tibolonm ki ni lédikasion !,Voilà des garçons qui ont de l’éducation !,25,I.Césaire,L’enf. des pass.,483,41
