sentence,sentence_fra
Sé twant désanm ki ké ba i katwan.,Il aura quatre ans le trente décembre.
Sé twant désanm ki ké ba'y katwan.,Il aura quatre ans le trente décembre.
Sé zétwal-la ka kléwé adan syèl-la.,Les étoiles brillent dans le ciel.
Sé èspwé an fè sa !,Je l'ai fait exprès !
Sé èspwé i fè sa !,Elle l'a fait exprès !
Sé èspwé mwen fè sa !,Je l'ai fait exprès !
Sé èspwé nou fè sa !,Nous l'avons fait exprès !
Sé èspwé ou fè sa !,Tu l'as fait exprès !
Sé èspwé yo fè sa !,Ils l'ont fait exprès !
Sé'y menm ki fè kaz a'y.,C'est lui-même qui a construit sa maison.
Sòti ou la ! Ou ka jéné mwen !,"Sauve-toi de là, tu me gênes."
Sòti.,Sors.
Tan-la ké bèl.,Il va faire beau.
Tan-la ké cho.,Il va faire chaud.
Ti fiy-la pati o fon bwa la.,La fillette est partie au fin fond des bois.
Ti gason-la pa pwan bak.,Le jeune garçon a raté son bac.
Ti non an mwen sé Èstéfann.,Je m'appelle Sally.
Timoun an mwen pasé lègzanmen a'y.,Mon enfant a été reçu à son examen.
Timoun-la malad.,L'enfant est malade.
Tin swasant sigonn adan on minit.,Il y a soixante secondes dans une minute.
Tinon an mwen sé Andréa.,Je m'appelle Andrea.
Tinon an mwen sé Anri.,Je m'appelle Henri.
Tinon an mwen sé Dàn.,Mon nom est Dan.
Tinon an mwen sé Igo.,Je m'appelle Hugo.
Tinon an mwen sé Jan.,Je m'appelle John.
Tinon an mwen sé Jòj.,Je m'appelle Georges.
Tinon an mwen sé Lika.,Je m'appelle Lucas.
Tinon an mwen sé Lori.,Je m'appelle Laurie.
Tinon an mwen sé Lwi.,Je m'appelle Luis.
Tinon an mwen sé Nami.,Je m'appelle Nami.
Tinon an mwen sé Sacha.,Je m'appelle Sasha.
Tinon an mwen sé Sara.,Je m'appelle Sara.
Tinon an mwen sé Yamada.,Mon nom est Yamada.
Tinon an mwen sé Yatarou.,Je m'appelle Yatarou.
Tinon an mwen sé Émili.,Je m'appelle Emily.
Tokyo gwan pasé Yokohama.,Tokyo est plus grande que Yokohama.
Tokyo pli gwan ki Yokohama.,Tokyo est plus grande que Yokohama.
Tokyo pli gwan pasé Yokohama.,Tokyo est plus grande que Yokohama.
Tom gwan pasé Mawi.,Tom est plus grand que Mary.
Tou-la fon.,Le trou est profond.
Tout moun ka sav ou ka manti.,Tout le monde sait que vous mentez.
Tout moun komansé pléré lè yo ankofré mò-la.,Tout le monde se mit à pleurer quand on mit en bière le défunt.
Tout moun konnèt li.,Tous le connaissent.
Tout moun koumansé pléré lè yo ankofré mò-la.,Tout le monde se mit à pleurer quand on mit en bière le défunt.
Touvé ki koté pwoblèm la yé.,Trouvez où est le problème.
Touvé ola poblèm la yé.,Trouvez où est le problème.
Touvé otila pwoblèm la yé.,Trouvez où est le problème.
Tòm enmé chanté.,Tom aime chanter.
Tòm enmé li.,Tom aime lire.
Tòm enmé najé.,Tom aime nager.
Tòm enmé péché.,Tom aime pêcher.
Tòm enmé zòt !,Tom vous aime !
Tòm enmé zòt.,Tom vous aime.
Tòm enmé'w.,Tom t'aime.
Tòm fè on aksidan loto.,Thomas a eu un accident de voiture.
Tòm gwan pasé Mayk.,Tom est plus grand que Mike.
Tòm gwan pasé manman'y.,Tom est plus grand que sa mère.
Tòm gwan pasé mwen.,Tom est plus grand que moi.
Tòm ka li jounal-la chak jou.,Tom lit le journal chaque jour.
Tòm ka li jounal-la toulé jou.,Tom lit le journal chaque jour.
Tòm ka najé chak jou.,Tom nage chaque jour.
Tòm ka najé toulé jou.,Tom nage chaque jour.
Tòm pli gwan ki Mawi.,Tom est plus grand que Mary.
Tòm pli gwan ki Mayk.,Tom est plus grand que Mike.
Tòm pli gwan ki manman'y.,Tom est plus grand que sa mère.
Tòm pli gwan ki mwen.,Tom est plus grand que moi.
Tòm pli gwan pasé Mawi.,Tom est plus grand que Mary.
Tòm pli gwan pasé Mayk.,Tom est plus grand que Mike.
Tòm pli gwan pasé manman'y.,Tom est plus grand que sa mère.
Tòm pli gwan pasé mwen.,Tom est plus grand que moi.
Tòm sé on zanmi a sé bèt-la.,Tom est un ami des animaux.
Tòm sé on zanmi a sé zannimo-la.,Tom est un ami des animaux.
Tòm toujou ka pléré.,Tom pleure tout le temps.
Van ké vanté.,Il y aura du vent.
Vant-la roupran mwen ankò.,Le mal de ventre m'a repris.
Vil gwan pasé vilaj.,Les villes sont plus grandes que les villages.
Vil pli gwan ki vilaj.,Les villes sont plus grandes que les villages.
Vil pli gwan pasé vilaj.,Les villes sont plus grandes que les villages.
Vin !,Viens !
Vin ba papa on ti ba !,Viens faire un bisou à papa !
Vin.,Viens.
Vini !,Viens !
Vini.,Viens.
Volé !,Vole !
Vòlkan-la ka pété.,Le volcan entre en éruption.
Wi !,Oui !
"Wi, an ka pléré.","Oui, je pleure."
"Wi, an nou a'y.","Oui, allons-y."
"Wi, dé.","Oui, deux."
"Wi, mwen ka pléré.","Oui, je pleure."
"Wi, poukisa ?","Oui, pourquoi ?"
Wi.,Oui.
Wi. Mèsi.,Oui. Merci.
Wisi gwan pasé Pliton.,La Russie est plus grande que Pluton.
Wisi pli gwan ki Pliton.,La Russie est plus grande que Pluton.
Wisi pli gwan pasé Pliton.,La Russie est plus grande que Pluton.
Woté ba-la asi bouwikèt-la !,Débâte l'âne !
Wouvini !,Reviens !
Wouvini dèmen.,Revenez demain.
Wè !,Oui !
"Wè, an ka pléré.","Oui, je pleure."
"Wè, an nou a'y.","Oui, allons-y."
"Wè, dé.","Oui, deux."
"Wè, mwen ka pléré.","Oui, je pleure."
"Wè, poukisa ?","Oui, pourquoi ?"
Wè.,Oui.
Wè. Mèsi.,Oui. Merci.
Wédé mwen !,Aidez-moi !
Wéponn !,Réponds !
Wòb la pa pwòp.,La robe n'est pas propre.
Yo di ni on balenn ki échwé Kapèstè.,On dit qu'il y a une baleine échouée à Capesterre.
Yo dwèt pa té manjé asé.,Ils n'avaient pas dû manger assez.
Yo enmé Tòm.,Ils aimaient Tom.
Yo enmé chanté.,Ils aiment chanter.
Yo fè on bonbon.,Ils ont fait un gâteau.
Yo k'ay an lanmès.,Ils vont à la messe.
Yo ka alé an lanmès.,Ils vont à la messe.
Yo ka ba bèf bwè.,Ils font boire les bœufs.
Yo ka bwè dlo on chay.,Ils boivent beaucoup d'eau.
Yo ka bwè dlo on lo.,Ils boivent beaucoup d'eau.
Yo ka bwè dlo on pil.,Ils boivent beaucoup d'eau.
Yo ka bwè dlo.,Elles boivent de l'eau.
Yo ka chèché travay.,Ils cherchent du travail.
Yo ka fè on bonbon.,Ils font un gâteau.
Yo ka gadé'w.,Ils vous regardent.
Yo ka limé blan balenn la.,Ils allument la bougie.
Yo ka limé bouji-la.,Ils allument la bougie.
Yo ka maché vit vit vit.,Ils marchent très très vite.
Yo ka maché vit vit.,Ils marchent très vite.
Yo ka manjé diwi.,Ils mangent du riz.
Yo ka manjé pen.,Ils mangent du pain.
Yo ka manjé.,Ils sont en train de manger.
Yo ka wété adan on gwan gwan kaz.,Ils vivent dans une immense maison.
Yo kouché yonn anlè lòt.,Ils sont couchés l'un sur l'autre.
Yo ké manjé.,Ils mangeront.
Yo mandé mwen ki moun an té yé.,Elles m'ont demandé qui j'étais.
Yo mandé mwen ki moun mwen té yé.,Ils m'ont demandé qui j'étais.
Yo manjé anki patat.,Ils n'ont mangé que des patates douces.
Yo manjé anni dé patat.,Ils n'ont mangé que deux patates douces.
Yo manjé.,Ils mangent.
Yo mété'y lajòl padavwa i ja fè twòp ka.,On l'a emprisonné parce qu'il a commis de très nombreux délits.
Yo ni katwèven dòla.,Ils ont quatre-vingts dollars.
Yo ni katwèvendis dòla.,Ils ont quatre-vingt-dix dollars.
Yo ni on gwo né.,Ils ont un gros nez.
Yo pa ka manjé.,Ils ne mangent pas.
Yo pa manjé.,Ils n'avaient pas mangé.
Yo pa té k'ay manjé.,Ils n'allaient pas manger.
Yo pa'a manjé.,Ils ne mangent pas.
Yo pé ké manjé.,Ils ne mangeront pas.
Yo pé'é manjé.,Ils ne mangeront pas.
Yo sé moun Fwans.,Ils sont français.
Yo sé moun isi ?,Sont-ils d'ici ?
Yo sé moun isi.,Ils sont d'ici.
Yo sé moun isit ?,Sont-ils d'ici ?
Yo sé moun isit.,Ils sont d'ici.
Yo té enmé Mawi.,Elles aimaient Marie.
Yo té k'ay manjé.,Ils allaient manger.
Yo té ka bo yo.,Ils s'embrassaient.
Yo té ka bo yonn a lòt.,Ils s'embrassaient.
Yo té ka bo.,Ils s'embrassaient.
Yo té ka réré anba mòn-la.,Ils habitent en bas de la colline.
Yo té las.,Ils étaient fatigués.
Yo té najé adan lak lasa.,Elles nageaient dans ce lac.
Yo té najé.,Ils nageaient.
Yo volé papyé an mwen èvè pòtmonné-la.,On m'a volé mes papiers et mon porte-monnaie.
Yo volé papyé an mwen.,On m'a volé mes papiers.
"Yonn, dé, twa, kat, senk, sis, sèt, ywit, nèf, dis.","Un, deux, trois, quatre, cinq, six, sept, huit, neuf, dix."
Zouk-la sé sèl médikaman nou ni.,Le zouk est le seul remède que nous ayons.
Zouti-la pèrmèt nou travay.,L'outil nous permet de travailler.
Zò douvan ?,Vous êtes devant ?
Zò enmé dansé.,Vous aimez nager.
Zò ka fè sa chak jou ?,Faites-vous cela chaque jour ?
Zò ka limé blan balenn la.,Vous allumez la bougie.
Zò ka limé bouji-la.,Vous allumez la bougie.
Zò ka étidyé chak jou ?,Étudiez-vous chaque jour ?
Zò ni on gwo né.,Vous avez un gros nez.
Zò pli gwan ki mwen.,Vous êtes plus grands que moi.
Zò pli gwan pasé mwen.,Vous êtes plus grands que moi.
Zò sé moun isit.,Vous êtes d'ici.
Zòt douvan ?,Vous êtes devant ?
Zòt enmé najé.,Vous aimez nager.
Zòt gwan pasé mwen.,Vous êtes plus grands que moi.
Zòt ka chèché travay.,Vous cherchez du travail.
Zòt ka fè sa toulé jou ?,Faites-vous cela chaque jour ?
Zòt ka konpwann mwen ?,Vous me comprenez ?
Zòt ka manjé.,Vous mangez.
Zòt ka étidyé chak jou ?,Étudiez-vous chaque jour ?
Zòt ké manjé.,Vous mangerez.
Zòt manjé.,Vous avez mangé.
Zòt ni on gwo né.,Vous avez un gros nez.
Zòt pa ka manjé.,Vous ne mangez pas.
Zòt pa manjé.,Vous n'avez pas mangé.
Zòt pa té k'ay manjé.,Vous n'alliez pas manger.
Zòt pa'a manjé.,Vous ne mangez pas.
Zòt pé ké manjé.,Vous ne mangerez pas.
Zòt pé'é manjé.,Vous ne mangerez pas.
Zòt sé moun isi ?,Êtes-vous d'ici ?
Zòt sé moun isi.,Vous êtes d'ici.
Zòt sé moun isit ?,Êtes-vous d'ici ?
Zòt té enmé najé.,Vous aimiez nager.
Zòt té k'ay manjé.,Vous alliez manger.
Zòt té ké enmé Tòm.,Vous aimeriez Tom.
« Tòm ! » « Mawi ! »,« Tom ! » « Mary ! »
Ès i ka dòmi ?,Il dort ?
Ès ni ou tab pou senk moun ?,Avez-vous une table pour cinq ?
Ès nou ké wivwè on jou ?,Est-ce qu'on se reverra ?
Ès ou enmé Vagnè ?,Aimes-tu Wagner ?
Ès ou enmé apwann ?,Aimes-tu étudier ?
Ès ou enmé chanté ?,Aimes-tu chanter ?
Ès ou enmé dansé ?,Aimez-vous danser ?
Ès ou enmé jwé ?,Aimez-vous jouer ?
Ès ou enmé kouwi ?,Aimes-tu courir ?
Ès ou enmé mwen ?,M'aimes-tu ?
Ès ou enmé najé ?,Aimes-tu nager ?
Ès ou enmé étidyé ?,Aimes-tu étudier ?
Ès ou enmé'y ?,L'aimes-tu ?
Ès ou fwè ?,Êtes-vous frères ?
Ès ou ja fè manjé la ?,As-tu préparé le repas ?
Ès ou ja pwan pa a’w ?,As-tu déjà pris ta part ?
Ès ou ka fimé ?,Fumez-vous ?
Ès ou ka konpwann ?,Comprenez-vous ?
Ès ou ka kouté ?,Tu écoutes ?
Ès ou ka twavay ?,Travaillez-vous ?
Ès ou pawé ?,Es-tu prêt ?
Ès ou pé ban mwen on pal ?,Peux-tu m'aider ?
Ès ou pé di dé ékip-lasa alabalans ?,Est-ce qu'on peut dire que ces deux équipes sont à égalité ?
Ès ou pé woté katwèven éwo ?,Peux-tu retirer quatre-vingts euros ?
Ès ou pé woté kawant éwo ?,Peux-tu retirer quarante euros ?
Ès ou pé woté mil éwo ?,Peux-tu retirer mille euros ?
Ès ou pé woté san éwo ?,Peux-tu retirer cent euros ?
Ès ou pé woté senkant éwo ?,Peux-tu retirer cinquante euros ?
Ès ou pé woté swasant éwo ?,Peux-tu retirer soixante euros ?
Ès ou pé woté twant éwo ?,Peux-tu retirer trente euros ?
Ès ou pé woudi sa ?,Pouvez-vous répéter cela ?
Ès ou pé woudi sa ban mwen ?,Pouvez-vous répéter cela ?
Ès ou té enmé Tòm ?,Aimais-tu Tom ?
Ès ou té ké pé ban nou vwè kat-la ?,"Peut-on avoir la carte, s'il vous plaît ?"
Ès yo pé viv san lanmou ?,Peut-on vivre sans amour?
Ès zòt enmé Vagnè ?,Aimez-vous Wagner ?
Ès zòt enmé apwann ?,Aimez-vous étudier ?
Ès zòt enmé chanté ?,Aimez-vous chanter ?
Ès zòt enmé dansé ?,Aimez-vous danser ?
Ès zòt enmé étidyé ?,Aimez-vous étudier ?
Ès zòt ni kwab ?,Vous avez des crabes ?
Ès zòt té enmé Tòm ?,Aimiez-vous Tom ?
"Èskizé mwen, ki lè i yé ?","Pardon, quelle heure est-il ?"
"Èskizé nou, Èstéfann vlé mandé'w on biten.","Excusez-nous, Stéphane veut vous demander quelque chose."
Èskè nou ké wivwè on jou ?,Nous reverrons-nous un jour ?
Èstéfann ka tayé gazon-la.,Stéphane tond le gazon.
Èstéfann vlé mandé'w on biten.,Stéphane veut vous demander quelque chose.
É zòt ?,Et vous ?
É'w ?,Et toi ?
Étenn limyè-la !,Éteins la lumière !
